BASILAN - AKBAR,,,,,
BASILAN - AKBAR,,,,,
MAYOR,,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,,POLITICAL PARTY
1,"GAPPAL, UJUD UJURUN (PDPLBN)",MALE,"GAPPAL, UJUD UJURUN JALIL",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
2,"SALI, ALIH (UBJP)",MALE,"SALI, ALIH AWAL",,UNITED BANGSAMORO JUSTICE PARTY
3,"USMAN, ABDULGANI (IND)",MALE,"USMAN, ABDULGANI GADDUNG",,INDEPENDENT
BASILAN - AKBAR,,,,,
VICE-MAYOR,,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,,POLITICAL PARTY
1,"ASAHA, HAMIDA (PDPLBN)",FEMALE,"ASAHA, HAMIDA KAPENG",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
2,"SALI, RAIZA (LAKAS)",FEMALE,"SALI, RAIZA ALAM",,LAKAS CHRISTIAN  MUSLIM DEMOCRATS
BASILAN - AKBAR - LONE DIST,,,,,
COUNCILOR,,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,,POLITICAL PARTY
1,"ABDULWAHID, WASIM (PDPLBN)",MALE,"ABDULWAHID, AL-WASHEEM HAMID",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
2,"ABDURAHMAN, FAHAD (IND)",MALE,"ABDURAHMAN, FAHAD ASIDDIN",,INDEPENDENT
3,"ALAM, ABDUL (IND)",MALE,"ALAM, ABDUL HALIPA",,INDEPENDENT
4,"AMIL, FARHANA (IND)",FEMALE,"AMIL, FARHANA TURABIN",,INDEPENDENT
5,"AMIN, VHERKIS (LAKAS)",FEMALE,"AMIN, VHERKIS ANTIH",,LAKAS CHRISTIAN  MUSLIM DEMOCRATS
6,"ASSAN, KAUDRI (IND)",MALE,"ASSAN, KAUDRI TURABIN",,INDEPENDENT
7,"BIRONG, HARID (UBJP)",MALE,"BIRONG, HARID UNSANG",,UNITED BANGSAMORO JUSTICE PARTY
8,"BIRUNG, ADZMIN (PDPLBN)",MALE,"BIRUNG, ADZMIN BABUDDIN",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
9,"BIRUNG, RAHIMA (PDPLBN)",FEMALE,"BIRUNG, RAHIMA RIZAL",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
10,"HALIL, ALI (LAKAS)",MALE,"HALIL, ALI GADDONG",,LAKAS CHRISTIAN  MUSLIM DEMOCRATS
11,"HALILULLA, RAHMA (PDPLBN)",FEMALE,"HALILULLA, RAHMA YOUSEF",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
12,"HATAMAN, WILDAAN (IND)",MALE,"HATAMAN, WILDAAN HAMID",,INDEPENDENT
BASILAN - AKBAR,,,,,
BASILAN - AKBAR - LONE DIST,,,,,
COUNCILOR,,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,,POLITICAL PARTY
13,"JAJALUN, JAMILA (IND)",FEMALE,"JAJALUN, JAMILA ASMAWIL",,INDEPENDENT
14,"JALIUL, NASSER (PDPLBN)",MALE,"JALIUL, NASSER SANAN",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
15,"MALAT, HEVA (PDPLBN)",FEMALE,"MALAT, HEVA COSEMPOL",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
16,"MOMBO, KADAPI (LAKAS)",MALE,"MOMBO, KADAPI MISTIRI",,LAKAS CHRISTIAN  MUSLIM DEMOCRATS
17,"MUSLIMIN, UBAIDIE (UBJP)",MALE,"MUSLIMIN, UBAIDIE AJUJIN",,UNITED BANGSAMORO JUSTICE PARTY
18,"SALAHUDDIN, RIDWAN (PDPLBN)",MALE,"SALAHUDDIN, RIDWAN AMAN",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
19,"SALI, HABER (UBJP)",MALE,"SALI, HABER ATAJAL",,UNITED BANGSAMORO JUSTICE PARTY
20,"SALIH, MUJAHEED (UBJP)",MALE,"SALIH, MUJAHEED ABUBAKAR",,UNITED BANGSAMORO JUSTICE PARTY
21,"SULAIMAN, NURULLAJI (IND)",MALE,"SULAIMAN, NURULLAJI ARAJAL",,INDEPENDENT
22,"YUSOP, ABDULHALIK (UBJP)",MALE,"YUSOP, ABDULHALIK SAHALUL",,UNITED BANGSAMORO JUSTICE PARTY
C E R T I F I C A T I O N,,,,,
"This is to certify that the above listed persons are the official candidates for the MAY 9, 2022 NATIONAL AND LOCAL ELECTIONS who filed their Certificate of Candidacy before the Administering Officer of BASILAN",,,,,
CERTIFIED CORRECT:,,,,,
ATTY. MARIA NORINA S. TANGARO-CASINGAL,,,,,
,,,,,
ADMINISTERING OFFICER,,,,,
Signature over printed name,,,,,
BASILAN - AL-BARKA,,,,,
BASILAN - AL-BARKA,,,,,
MAYOR,,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,,POLITICAL PARTY
1,"HOTONG, SULAIMAN (IND)",MALE,"HOTONG, SULAIMAN SARIMAN",,INDEPENDENT
2,"ISMAEL, IBRAHIM (IND)",MALE,"ISMAEL, IBRAHIM PURIS",,INDEPENDENT
3,"JAIRATUL, JHON (IND)",MALE,"JAIRATUL, JHONNY MUNADJALUN",,INDEPENDENT
4,"JAKILAN, MUJIB (PDPLBN)",MALE,"JAKILAN, MUJIB HASSAN",,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
5,"LADJID, JAID (PDDS)",MALE,"LADJID, JAID ISMAEL",,PEDERALISMO NG DUGONG DAKILANG SAMAHAN
6,"LAJID, JAYDEEFAR (UBJP)",MALE,"LAJID, JAYDEEFAR JUK",,UNITED BANGSAMORO JUSTICE PARTY
BASILAN - AL-BARKA,,,,,
VICE-MAYOR,,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,,POLITICAL PARTY
1,"LAJID, DARUSSALAM (LAKAS)",MALE,"LAJID, DARUSSALAM SAGUINDILAN",,LAKAS CHRISTIAN  MUSLIM DEMOCRATS
