ZAMBALES - CANDELARIA,,,,
ZAMBALES - CANDELARIA,,,,
MAYOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
1,"ECUNAR, PEDRO (IND)",MALE,"ECUNAR, PEDRO CLETO",INDEPENDENT
2,"EDEJER, DOK EMI (SZP)",MALE,"EDEJER, ILIRMO EBILANE",SULONG ZAMBALES
3,"EDQUILANG, NIK-NOK (PROMDI)",MALE,"EDQUILANG, BYRON JONES EDQUID",PROGRESSIVE MOVEMENT FOR THE DEVOLUTION OF INITIATIVES (PROMDI)
4,"MENDOZA, VERNIE (KBL)",MALE,"MENDOZA, VERNIE EGALLA",KILUSANG BAGONG LIPUNAN
ZAMBALES - CANDELARIA,,,,
VICE-MAYOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
1,"ALQUIZAR, DOC OLIVE (SZP)",FEMALE,"ALQUIZAR, MARIA OLIVIA EBDANE",SULONG ZAMBALES
2,"ECHON, PICO (IND)",MALE,"ECHON, LEONIDES ECLEVIA",INDEPENDENT
3,"HERMOSO, GILBERT (KBL)",MALE,"HERMOSO, GILBERT AUSTRIA",KILUSANG BAGONG LIPUNAN
ZAMBALES - CANDELARIA - LONE DIST,,,,
COUNCILOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
1,"ALOP, ROMAN (PROMDI)",MALE,"ALOP, ROMAN EDING",PROGRESSIVE MOVEMENT FOR THE DEVOLUTION OF INITIATIVES (PROMDI)
2,"ANGELES, JUN (IND)",MALE,"ANGELES, CESAR JR. ECALNIR",INDEPENDENT
3,"BALURAN, VIRGINIA (PROMDI)",FEMALE,"BALURAN, VIRGINIA HEBRON",PROGRESSIVE MOVEMENT FOR THE DEVOLUTION OF INITIATIVES (PROMDI)
4,"BAYONA, GENESIS (PROMDI)",MALE,"BAYONA, GENESIS EDNALINO",PROGRESSIVE MOVEMENT FOR THE DEVOLUTION OF INITIATIVES (PROMDI)
5,"CARANDANG, RADEN (PROMDI)",MALE,"CARANDANG, RADEN EBALOBOR",PROGRESSIVE MOVEMENT FOR THE DEVOLUTION OF INITIATIVES (PROMDI)
6,"DELA LLANA, LOWELL (PROMDI)",MALE,"DELA LLANA, LOWELL YAP",PROGRESSIVE MOVEMENT FOR THE DEVOLUTION OF INITIATIVES (PROMDI)
7,"DELA PE¥A, JEAN (KBL)",FEMALE,"DELA PE¥A, JEAN ELAMPARO",KILUSANG BAGONG LIPUNAN
8,"EAY, MAC (IND)",MALE,"EAY, MAC ECIJAN",INDEPENDENT
ZAMBALES - CANDELARIA,,,,
ZAMBALES - CANDELARIA - LONE DIST,,,,
COUNCILOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
9,"EBILANE, DARWIN (NPC)",MALE,"EBILANE, DARWIN ECLARINO",NATIONALIST PEOPLE'S COALITION
10,"EBUENGA, NANDY (SZP)",MALE,"EBUENGA, FERDINAND ESPINOSA",SULONG ZAMBALES
11,"ECALNIR, TOMAS JR. (KBL)",MALE,"ECALNIR, TOMAS JR. SANTIAGO",KILUSANG BAGONG LIPUNAN
12,"ECHON, SEC FRANZ (SZP)",MALE,"ECHON, FRANCIS EDNALAGA",SULONG ZAMBALES
13,"ECHON, SYLVIA (MKMAZA)",FEMALE,"ECHON, SYLVIA MARILA",MALAYANG KILUSAN NG MAMAYANG ZAMBALE¥O (MAKIMAZA)
14,"ECHON, VICENTE JR. (SZP)",MALE,"ECHON, VICENTE JR. VILLAZAN",SULONG ZAMBALES
15,"ECLARINAL, FERDINAND (KBL)",MALE,"ECLARINAL, FERDINAND ERMITA¥O",KILUSANG BAGONG LIPUNAN
16,"EDNAVE, GIL (IND)",MALE,"EDNAVE, GIL JR. EBILANE",INDEPENDENT
17,"EDNAVE, PENNY (SZP)",MALE,"EDNAVE, PENNY EBILANE",SULONG ZAMBALES
18,"EDQUILANG, CROS (PROMDI)",MALE,"EDQUILANG, SERGIO ADRIANO RADAM",PROGRESSIVE MOVEMENT FOR THE DEVOLUTION OF INITIATIVES (PROMDI)
19,"ELA, EMMA (NPC)",FEMALE,"ELA, DOLORES EMMA ALONZO",NATIONALIST PEOPLE'S COALITION
20,"ESPINOSA, LEO (SZP)",MALE,"ESPINOSA, LEO ECLARINO",SULONG ZAMBALES
21,"ESTEL, RENA (IND)",FEMALE,"ESTEL, RENA EDRADA",INDEPENDENT
22,"ESTERON, DANIEL (IND)",MALE,"ESTERON, DANIEL ZAMORA",INDEPENDENT
23,"EVALLE, MANING (IND)",MALE,"EVALLE, MANUEL EBALO",INDEPENDENT
24,"FALLORINA, MADAM AGGIE (SZP)",FEMALE,"FALLORINA, AGNES EDEJER",SULONG ZAMBALES
25,"LOREZO, CARLO (PROMDI)",MALE,"LOREZO, CARLO MANUEL",PROGRESSIVE MOVEMENT FOR THE DEVOLUTION OF INITIATIVES (PROMDI)
26,"MANA, KAP (SZP)",MALE,"MANA, ALVIN ELAMPARO",SULONG ZAMBALES
27,"MOLINO, IAN (SZP)",MALE,"MOLINO, MICHAEL IAN YAP",SULONG ZAMBALES
28,"PULIDO, LUIS (PROMDI)",MALE,"PULIDO, LUIS BA¥EZ",PROGRESSIVE MOVEMENT FOR THE DEVOLUTION OF INITIATIVES (PROMDI)
ZAMBALES - CANDELARIA,,,,
ZAMBALES - CANDELARIA - LONE DIST,,,,
COUNCILOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
C E R T I F I C A T I O N,,,,
"This is to certify that the above listed persons are the official candidates for the MAY 9, 2022 NATIONAL AND LOCAL ELECTIONS who filed their Certificate of Candidacy before the Administering Officer of ZAMBALES",,,,
CERTIFIED CORRECT:,,,,
ATTY. MARIA NORINA S. TANGARO-CASINGAL,,,,
,,,,
ADMINISTERING OFFICER,,,,
Signature over printed name,,,,
ZAMBALES - CASTILLEJOS,,,,
ZAMBALES - CASTILLEJOS,,,,
MAYOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
1,"DALIT, CLAUDE NAVALTA (RP)",MALE,"DALIT, CLAUDE SR. NAVALTA",REFORM PH-PEOPLE'S PARTY
2,"DOMINGUEZ, JOSE ANGELO (PDR)",MALE,"DOMINGUEZ, JOSE ANGELO MIRANDA",PARTIDO PARA SA DEMOKRATIKONG  REPORMA
3,"KHONGHUN, JEFF (NP)",MALE,"KHONGHUN, JEFFREY DOMINGO",NACIONALISTA PARTY
4,"MAGSAYSAY, ANGEL (PDPLBN)",FEMALE,"MAGSAYSAY-CHENG, ANGELICA ENCISO",PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
ZAMBALES - CASTILLEJOS,,,,
VICE-MAYOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
1,"ESPOSO, NI¥O (NP)",MALE,"ESPOSO, CHRISTIAN TAN",NACIONALISTA PARTY
2,"GUTIERREZ, KAP MAC (PDPLBN)",MALE,"GUTIERREZ, EDDIE DIMAANO",PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
3,"HILARIO, BOY (IND)",MALE,"HILARIO, INOCENCIO NENING",INDEPENDENT
4,"SALIH, RIZAL JR. (PDR)",MALE,"SALIH, RIZAL JR. GONZALES",PARTIDO PARA SA DEMOKRATIKONG  REPORMA
ZAMBALES - CASTILLEJOS - LONE DIST,,,,
COUNCILOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
1,"ABLAO, JORGE (NP)",MALE,"ABLAO, JORGE MANUEL",NACIONALISTA PARTY
2,"ADAPON-FLAVIANO, NORA (PDR)",FEMALE,"FLAVIANO, NORA ADAPON",PARTIDO PARA SA DEMOKRATIKONG  REPORMA
3,"ADOLFO, NGUTANGOT (NPC)",MALE,"ADOLFO, QUIRINO REGOJOS",NATIONALIST PEOPLE'S COALITION
4,"ARGUELLES, AUGUSTO (NPC)",MALE,"ARGUELLES, AUGUSTO PANER",NATIONALIST PEOPLE'S COALITION
5,"AVERA, VOLTAIRE (PDR)",MALE,"AVERA, VOLTAIRE DEONERO",PARTIDO PARA SA DEMOKRATIKONG  REPORMA
6,"CALIMLIM, ROMEO II (NP)",MALE,"CALIMLIM, ROMEO II DAYAP",NACIONALISTA PARTY
7,"CALLO, YASSER (IND)",MALE,"CALLO, YASSER MARTINEZ",INDEPENDENT
8,"CAPUCAO, CAPSA (NPC)",MALE,"CAPUCAO, OSCAR DULAY",NATIONALIST PEOPLE'S COALITION
9,"CUA, ALOHA (PDPLBN)",FEMALE,"CUA-BAUTISTA, ALOHA QUIMQUE",PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
10,"CUNANAN, AL (PDPLBN)",MALE,"CUNANAN, ALFREDO NAVARRO",PARTIDO DEMOKRATIKO
ZAMBALES - CASTILLEJOS,,,,
ZAMBALES - CASTILLEJOS - LONE DIST,,,,
COUNCILOR,,,,
#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY
PILIPINO LAKAS NG BAYAN,,,,
11,"DALIT, DARREN BAL (PDPLBN)",MALE,"DALIT, DARREN RAY VALDEZ",PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
12,"DELOS SANTOS, MARIO (NPC)",MALE,"DELOS SANTOS, MARIO MORALES",NATIONALIST PEOPLE'S COALITION
13,"EDORA, CONNIE (PDPLBN)",FEMALE,"EDORA, CONCEPCION PIGAO",PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
14,"FELARCA-RAFANAN, CECIL (NP)",FEMALE,"RAFANAN, MARIA CECILIA FELARCA",NACIONALISTA PARTY
15,"GALLARDO, TYRONE (NP)",MALE,"GALLARDO, TYRONE MARS DONATO",NACIONALISTA PARTY
16,"GUTIERREZ, EDGARDO (PDR)",MALE,"GUTIERREZ, EDGARDO DE JESUS",PARTIDO PARA SA DEMOKRATIKONG  REPORMA
17,"ISIDRO, RONNIE (PDPLBN)",MALE,"ISIDRO, RONNIE TOLENTINO",PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
18,"LA TORRE, JAY-CZAR (PDR)",MALE,"LA TORRE, JAY-CZAR CRUZ",PARTIDO PARA SA DEMOKRATIKONG  REPORMA
19,"LADRILLO, TONG (IND)",MALE,"LADRILLO, JAYCEE ESPOSO",INDEPENDENT
20,"LAXA, PEPITO (IND)",MALE,"LAXA, PEPITO MULI",INDEPENDENT
21,"LAZARO, JOEL (PDR)",MALE,"LAZARO, JOEL LOPEZ",PARTIDO PARA SA DEMOKRATIKONG  REPORMA
22,"MANZANO, ARTURO (NP)",MALE,"MANZANO, ARTURO PASCUAL",NACIONALISTA PARTY
23,"MAPALO, MAI-MAK (NP)",MALE,"MAPALO, DENNIS FABICON",NACIONALISTA PARTY
24,"NAVARRO, RIC'S (IND)",MALE,"NAVARRO, AUNES ERIC SABARES",INDEPENDENT
25,"PAMINTUAN, POG'S (PDPLBN)",MALE,"PAMINTUAN, ARTURO JR. GORROMEO",PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
26,"ROLDAN-GUEVARA, ODA (PDR)",FEMALE,"GUEVARA, RHODORA ROLDAN",PARTIDO PARA SA DEMOKRATIKONG  REPORMA
27,"SAZON, BATZAM (PDPLBN)",MALE,"SAZON, ORLANDO DOMINGUEZ",PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN
